UTC,ISO8601,Weekday,Open,Highest,Lowest,Closing,Volume
1571529600000,2019-10-19T20:00:00,Saturday,7949.87,8297.0,7870.0,8223.35,34286.452654
1571616000000,2019-10-20T20:00:00,Sunday,8223.35,8333.0,8142.03,8197.27,30448.679538999997
1571702400000,2019-10-21T20:00:00,Monday,8197.28,8297.99,8000.0,8020.0,34651.828663
1571788800000,2019-10-22T20:00:00,Tuesday,8020.06,8047.59,7300.0,7466.62,63897.457098
1571875200000,2019-10-23T20:00:00,Wednesday,7468.47,7503.68,7337.99,7412.41,32714.383264999997
1571961600000,2019-10-24T20:00:00,Thursday,7412.41,8799.0,7361.0,8655.02,90748.218174
1572048000000,2019-10-25T20:00:00,Friday,8655.88,10370.0,8470.38,9230.0,162588.58541300002
1572134400000,2019-10-26T20:00:00,Saturday,9230.0,9794.98,9074.34,9529.93,93833.541604
1572220800000,2019-10-27T20:00:00,Sunday,9528.23,9902.1,9160.0,9205.14,80174.217323
1572307200000,2019-10-28T20:00:00,Monday,9204.45,9550.0,9072.0,9407.62,64158.462446000005
1572393600000,2019-10-29T20:00:00,Tuesday,9407.62,9409.84,9001.01,9154.72,55241.786434
1572480000000,2019-10-30T20:00:00,Wednesday,9154.02,9405.0,8913.0,9140.85,54376.024902
1572566400000,2019-10-31T20:00:00,Thursday,9140.86,9279.0,9030.0,9231.61,43594.814115
1572652800000,2019-11-01T20:00:00,Friday,9231.4,9373.74,9186.21,9289.52,28923.060827999998
1572739200000,2019-11-02T20:00:00,Saturday,9289.85,9362.57,9066.14,9194.71,27894.378279
1572825600000,2019-11-03T19:00:00,Sunday,9196.46,9513.68,9115.84,9393.35,45894.456277
1572912000000,2019-11-04T19:00:00,Monday,9392.4,9454.95,9175.76,9308.66,45935.873665
1572998400000,2019-11-05T19:00:00,Tuesday,9307.73,9440.91,9250.01,9339.05,37336.170372
1573084800000,2019-11-06T19:00:00,Wednesday,9339.16,9375.0,9101.0,9216.2,39117.470853
1573171200000,2019-11-07T19:00:00,Thursday,9214.0,9261.0,8696.0,8773.73,62107.28924299999
